"seed_id","component","seed","offset_from_master","derivation","scenario_invariant","prespecified_before_pilot"
"CONF01","master_seed",202609001,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF01","clean_truth",202609102,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","batch_assignment",202609212,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","batch_magnitude",202609308,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","drift_assignment",202609402,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","drift_morphology",202609504,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","drift_shape",202609602,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","responsive_features",202609702,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","allocation_priority",202609810,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_Raw",202610202,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_ComBat",202610302,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_QC_RLSC",202610402,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_QC_RFSC",202610502,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_TIGER",202610602,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_SERRF",202610702,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_WINN_auto_QC",202610802,1801,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_WINN_auto_batch_QC",202610902,1901,"master_seed + fixed component offset",TRUE,TRUE
"CONF01","method_WINN_fixed_no_QC",202611002,2001,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","master_seed",202609002,0,"prespecified 00_provenance/seed_manifest.csv",TRUE,TRUE
"CONF02","clean_truth",202609103,101,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","batch_assignment",202609213,211,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","batch_magnitude",202609309,307,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","drift_assignment",202609403,401,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","drift_morphology",202609505,503,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","drift_shape",202609603,601,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","responsive_features",202609703,701,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","allocation_priority",202609811,809,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_Raw",202610203,1201,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_ComBat",202610303,1301,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_QC_RLSC",202610403,1401,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_QC_RFSC",202610503,1501,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_TIGER",202610603,1601,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_SERRF",202610703,1701,"master_seed + fixed component offset",TRUE,TRUE
"CONF02","method_WINN_auto_QC",202610803,1801,"master_seed + fixed component offset",TRUE,TRUE
