"contrast_id","method_a","method_b","rationale","prespecified_before_repeated_seed_results"
"fixed_vs_raw","WINN default (no QC)","Raw","Primary fixed-WiNN improvement over corrupted input.",TRUE
"fixed_vs_combat","WINN default (no QC)","ComBat","Primary fixed-WiNN comparison with ComBat.",TRUE
"fixed_vs_qc_rlsc","WINN default (no QC)","QC-RLSC","Primary fixed-WiNN comparison with QC-RLSC.",TRUE
"fixed_vs_qc_rfsc","WINN default (no QC)","QC-RFSC","Primary fixed-WiNN comparison with QC-RFSC.",TRUE
"fixed_vs_tiger","WINN default (no QC)","TIGER","Primary fixed-WiNN comparison with TIGER.",TRUE
"fixed_vs_serrf","WINN default (no QC)","SERRF","Primary fixed-WiNN comparison with SERRF.",TRUE
"auto_vs_fixed","WINN auto (QC)","WINN default (no QC)","Training-QC automatic mode versus fixed QC-optional mode.",TRUE
"selective_drift_vs_forced_drift","G_SS","G_AS","Penalty or benefit from forcing drift correction on every feature-profile.",TRUE
"selective_batch_vs_forced_batch","G_SS","G_SA","Penalty or benefit from forcing batch correction on every feature.",TRUE
"c2_to_c3_residual_batch","C3_SELECTIVE_BATCH","C2_SELECTIVE_DRIFT","Increment attributable to selective batch correction after selective drift.",TRUE
"selective_both_vs_forced_both","G_SS","G_AA","Selective gates versus forcing both drift and batch correction.",TRUE
