"criterion_id","criterion","status","evidence"
1,"Numerical feature-by-injection matrix","PASS","113 numeric metabolite rows by 210 aligned injections."
2,"Uncorrected or minimally processed intensities","PASS WITH LIMITATION","Positive identified-metabolite peak intensities; the table is a selected 113-metabolite panel rather than the full untargeted peak table."
3,"No prior batch/drift/QC correction","PASS","The phenomis vignette reads these files and only then invokes correcting(), QC-CV filtering, osmolality normalization, and log10 transformation."
4,"Study and pooled QC in same matrix","PASS","184 study samples and 26 pool QCs coexist in the same table."
5,"Unambiguous matrix-metadata matching","PASS","Matrix column names exactly equal metadata row names in deposited order."
6,"Reliable supplied batch labels","PASS","Two deposited batches: ne1 (104 injections) and ne2 (106 injections)."
7,"Reliable acquisition order","PASS","Deposited injectionOrder is unique and strictly increasing within each batch; it resets across batches, so global order is a documented concatenation."
8,"Identifiable QCs","PASS","sampleType=pool identifies 14 ne1 and 12 ne2 QCs."
9,"Usable biological labels","PASS","Age, BMI, gender, sampling, and osmolality are present for every study sample."
10,"Sufficient study samples per batch","PASS","90 and 94 study injections in ne1 and ne2."
11,"Sufficient training QCs per batch","PASS","Four hidden QCs per batch leave 10 and 8 training QCs."
12,"Boundary QCs can remain in training","PASS","First/last deposited QCs in both batches are retained by the holdout constraints."
13,"No severe biological-batch/order confounding","PASS","Gender-batch Cramer's V=0.118; age SMD=-0.017; BMI SMD=0.016; both genders occur throughout both batches."
14,"Safe input scale for WiNN","PASS","All values are finite and nonnegative; no undocumented inverse transformation is required."
