metabolite	batch_effect_applied	batch_effect_strength	drift_effect_applied_any_plate	n_plates_with_drift	drift_type_linear	drift_type_nonlinear	drift_type_ar1	drift_type_mixed
M1	TRUE	moderate	FALSE	0	0	0	0	0
M2	FALSE	none	FALSE	0	0	0	0	0
M3	TRUE	moderate	FALSE	0	0	0	0	0
M4	TRUE	moderate	FALSE	0	0	0	0	0
M5	TRUE	moderate	FALSE	0	0	0	0	0
M6	TRUE	moderate	TRUE	2	0	1	1	0
M7	FALSE	none	TRUE	2	1	0	0	1
M8	TRUE	moderate	FALSE	0	0	0	0	0
M9	TRUE	moderate	TRUE	2	0	0	1	1
M10	TRUE	moderate	TRUE	3	1	0	1	1
M11	FALSE	none	TRUE	3	0	1	1	1
M12	TRUE	moderate	FALSE	0	0	0	0	0
M13	TRUE	moderate	TRUE	2	1	1	0	0
M14	FALSE	none	FALSE	0	0	0	0	0
M15	TRUE	moderate	FALSE	0	0	0	0	0
M16	TRUE	moderate	TRUE	5	1	3	0	1
M17	TRUE	moderate	FALSE	0	0	0	0	0
M18	TRUE	moderate	TRUE	4	2	1	1	0
M19	TRUE	moderate	FALSE	0	0	0	0	0
M20	TRUE	moderate	TRUE	3	1	1	0	1
M21	TRUE	moderate	TRUE	4	1	2	0	1
M22	FALSE	none	TRUE	3	1	0	1	1
M23	FALSE	none	TRUE	3	0	1	1	1
M24	TRUE	moderate	FALSE	0	0	0	0	0
M25	TRUE	moderate	TRUE	3	1	1	1	0
M26	TRUE	moderate	FALSE	0	0	0	0	0
M27	TRUE	moderate	TRUE	3	0	1	1	1
M28	TRUE	moderate	FALSE	0	0	0	0	0
M29	TRUE	moderate	TRUE	1	1	0	0	0
M30	FALSE	none	TRUE	1	1	0	0	0
M31	FALSE	none	TRUE	3	1	1	1	0
M32	TRUE	moderate	TRUE	1	1	0	0	0
M33	TRUE	moderate	TRUE	2	1	1	0	0
M34	TRUE	moderate	FALSE	0	0	0	0	0
M35	TRUE	moderate	TRUE	1	0	1	0	0
M36	TRUE	strong	FALSE	0	0	0	0	0
M37	TRUE	moderate	TRUE	1	0	1	0	0
M38	TRUE	strong	TRUE	2	0	2	0	0
M39	TRUE	moderate	TRUE	4	2	1	0	1
M40	TRUE	moderate	FALSE	0	0	0	0	0
M41	FALSE	none	FALSE	0	0	0	0	0
M42	TRUE	moderate	TRUE	4	2	1	1	0
M43	TRUE	strong	FALSE	0	0	0	0	0
M44	TRUE	moderate	FALSE	0	0	0	0	0
M45	TRUE	moderate	TRUE	3	2	1	0	0
M46	TRUE	moderate	FALSE	0	0	0	0	0
M47	FALSE	none	FALSE	0	0	0	0	0
M48	TRUE	moderate	TRUE	1	0	0	0	1
M49	TRUE	moderate	TRUE	2	1	1	0	0
M50	FALSE	none	FALSE	0	0	0	0	0
M51	FALSE	none	TRUE	5	3	0	1	1
M52	FALSE	none	FALSE	0	0	0	0	0
M53	TRUE	moderate	TRUE	4	4	0	0	0
M54	TRUE	moderate	TRUE	3	1	1	1	0
M55	TRUE	strong	FALSE	0	0	0	0	0
M56	TRUE	moderate	FALSE	0	0	0	0	0
M57	TRUE	moderate	TRUE	2	0	2	0	0
M58	FALSE	none	TRUE	3	1	1	0	1
M59	TRUE	strong	FALSE	0	0	0	0	0
M60	TRUE	moderate	TRUE	4	3	1	0	0
M61	FALSE	none	TRUE	3	1	1	0	1
M62	TRUE	moderate	TRUE	3	1	2	0	0
M63	TRUE	moderate	TRUE	2	0	0	1	1
M64	TRUE	moderate	FALSE	0	0	0	0	0
M65	TRUE	moderate	TRUE	3	1	1	1	0
M66	TRUE	strong	FALSE	0	0	0	0	0
M67	FALSE	none	TRUE	3	1	0	1	1
M68	TRUE	moderate	TRUE	2	0	1	0	1
M69	FALSE	none	FALSE	0	0	0	0	0
M70	TRUE	moderate	FALSE	0	0	0	0	0
M71	TRUE	moderate	FALSE	0	0	0	0	0
M72	TRUE	moderate	TRUE	3	1	0	1	1
M73	TRUE	moderate	FALSE	0	0	0	0	0
M74	TRUE	moderate	TRUE	2	1	1	0	0
M75	TRUE	moderate	FALSE	0	0	0	0	0
M76	TRUE	moderate	TRUE	3	0	2	0	1
M77	FALSE	none	TRUE	2	0	0	1	1
M78	TRUE	moderate	TRUE	2	0	1	0	1
M79	FALSE	none	TRUE	3	1	2	0	0
M80	FALSE	none	TRUE	2	0	2	0	0
M81	TRUE	moderate	TRUE	4	2	1	1	0
M82	TRUE	strong	TRUE	2	2	0	0	0
M83	FALSE	none	TRUE	5	2	2	1	0
M84	FALSE	none	FALSE	0	0	0	0	0
M85	TRUE	moderate	FALSE	0	0	0	0	0
M86	TRUE	moderate	TRUE	3	1	1	0	1
M87	FALSE	none	FALSE	0	0	0	0	0
M88	FALSE	none	TRUE	2	0	1	0	1
M89	TRUE	moderate	TRUE	5	2	1	0	2
M90	TRUE	moderate	TRUE	2	1	0	0	1
M91	TRUE	moderate	TRUE	3	2	0	1	0
M92	TRUE	moderate	FALSE	0	0	0	0	0
M93	TRUE	moderate	TRUE	3	1	1	0	1
M94	TRUE	moderate	FALSE	0	0	0	0	0
M95	TRUE	moderate	TRUE	2	0	1	0	1
M96	TRUE	moderate	TRUE	3	1	2	0	0
M97	TRUE	moderate	TRUE	1	1	0	0	0
M98	FALSE	none	FALSE	0	0	0	0	0
M99	TRUE	moderate	FALSE	0	0	0	0	0
M100	TRUE	moderate	FALSE	0	0	0	0	0
M101	TRUE	moderate	TRUE	3	0	2	1	0
M102	FALSE	none	TRUE	1	1	0	0	0
M103	TRUE	moderate	FALSE	0	0	0	0	0
M104	TRUE	moderate	TRUE	4	0	0	3	1
M105	TRUE	moderate	TRUE	4	2	0	2	0
M106	TRUE	moderate	TRUE	3	2	1	0	0
M107	TRUE	moderate	TRUE	1	0	0	1	0
M108	TRUE	moderate	FALSE	0	0	0	0	0
M109	TRUE	moderate	FALSE	0	0	0	0	0
M110	TRUE	moderate	TRUE	2	1	1	0	0
M111	TRUE	moderate	TRUE	3	2	0	0	1
M112	TRUE	moderate	TRUE	2	0	1	0	1
M113	TRUE	strong	TRUE	2	1	1	0	0
M114	TRUE	moderate	TRUE	4	1	2	0	1
M115	TRUE	moderate	TRUE	3	1	1	1	0
M116	FALSE	none	TRUE	3	1	0	0	2
M117	TRUE	moderate	TRUE	3	2	1	0	0
M118	TRUE	strong	FALSE	0	0	0	0	0
M119	TRUE	moderate	FALSE	0	0	0	0	0
M120	FALSE	none	TRUE	4	2	1	1	0
M121	TRUE	moderate	TRUE	3	0	1	0	2
M122	TRUE	moderate	FALSE	0	0	0	0	0
M123	TRUE	moderate	FALSE	0	0	0	0	0
M124	FALSE	none	FALSE	0	0	0	0	0
M125	TRUE	moderate	TRUE	2	0	1	0	1
M126	TRUE	moderate	TRUE	4	1	2	0	1
M127	TRUE	moderate	TRUE	4	4	0	0	0
M128	FALSE	none	FALSE	0	0	0	0	0
M129	FALSE	none	TRUE	4	1	1	0	2
M130	TRUE	moderate	TRUE	4	0	3	0	1
M131	FALSE	none	TRUE	4	0	3	0	1
M132	TRUE	moderate	FALSE	0	0	0	0	0
M133	TRUE	moderate	TRUE	4	2	1	1	0
M134	TRUE	moderate	TRUE	2	1	0	0	1
M135	TRUE	moderate	FALSE	0	0	0	0	0
M136	TRUE	moderate	FALSE	0	0	0	0	0
M137	TRUE	moderate	TRUE	3	2	0	1	0
M138	FALSE	none	FALSE	0	0	0	0	0
M139	TRUE	moderate	TRUE	2	0	2	0	0
M140	FALSE	none	TRUE	3	1	1	1	0
M141	TRUE	moderate	FALSE	0	0	0	0	0
M142	TRUE	moderate	TRUE	1	0	0	0	1
M143	TRUE	moderate	FALSE	0	0	0	0	0
M144	TRUE	moderate	FALSE	0	0	0	0	0
M145	FALSE	none	TRUE	4	0	3	1	0
M146	FALSE	none	FALSE	0	0	0	0	0
M147	TRUE	moderate	TRUE	1	1	0	0	0
M148	TRUE	moderate	TRUE	1	1	0	0	0
M149	TRUE	moderate	FALSE	0	0	0	0	0
M150	TRUE	moderate	TRUE	4	1	3	0	0
M151	TRUE	moderate	FALSE	0	0	0	0	0
M152	TRUE	moderate	FALSE	0	0	0	0	0
M153	TRUE	moderate	TRUE	3	2	0	0	1
M154	FALSE	none	FALSE	0	0	0	0	0
M155	TRUE	moderate	TRUE	2	1	0	0	1
M156	TRUE	moderate	TRUE	3	1	2	0	0
M157	TRUE	moderate	TRUE	4	0	1	2	1
M158	TRUE	moderate	TRUE	2	1	1	0	0
M159	TRUE	moderate	FALSE	0	0	0	0	0
M160	TRUE	moderate	FALSE	0	0	0	0	0
M161	TRUE	moderate	TRUE	4	1	2	0	1
M162	FALSE	none	TRUE	2	1	1	0	0
M163	FALSE	none	TRUE	3	2	0	1	0
M164	FALSE	none	TRUE	4	1	3	0	0
M165	TRUE	moderate	TRUE	1	1	0	0	0
M166	TRUE	moderate	TRUE	3	1	1	0	1
M167	TRUE	strong	TRUE	4	1	2	1	0
M168	TRUE	moderate	TRUE	2	1	0	0	1
M169	FALSE	none	TRUE	4	3	0	0	1
M170	FALSE	none	FALSE	0	0	0	0	0
M171	TRUE	strong	FALSE	0	0	0	0	0
M172	FALSE	none	FALSE	0	0	0	0	0
M173	TRUE	moderate	FALSE	0	0	0	0	0
M174	FALSE	none	TRUE	3	0	2	0	1
M175	TRUE	moderate	TRUE	4	0	1	1	2
M176	TRUE	moderate	TRUE	2	2	0	0	0
M177	TRUE	moderate	TRUE	3	1	1	0	1
M178	TRUE	moderate	FALSE	0	0	0	0	0
M179	FALSE	none	TRUE	3	2	1	0	0
M180	TRUE	moderate	TRUE	4	2	1	1	0
M181	TRUE	strong	FALSE	0	0	0	0	0
M182	TRUE	moderate	TRUE	3	0	0	0	3
M183	TRUE	moderate	FALSE	0	0	0	0	0
M184	TRUE	moderate	FALSE	0	0	0	0	0
M185	TRUE	moderate	FALSE	0	0	0	0	0
M186	TRUE	moderate	TRUE	3	0	1	1	1
M187	TRUE	moderate	TRUE	4	1	2	0	1
M188	TRUE	moderate	FALSE	0	0	0	0	0
M189	TRUE	moderate	FALSE	0	0	0	0	0
M190	TRUE	moderate	TRUE	2	1	0	1	0
M191	TRUE	moderate	TRUE	2	2	0	0	0
M192	TRUE	moderate	TRUE	1	0	0	0	1
M193	TRUE	moderate	TRUE	3	3	0	0	0
M194	TRUE	moderate	FALSE	0	0	0	0	0
M195	TRUE	moderate	FALSE	0	0	0	0	0
M196	TRUE	moderate	FALSE	0	0	0	0	0
M197	TRUE	moderate	TRUE	2	2	0	0	0
M198	TRUE	moderate	TRUE	2	0	0	1	1
M199	TRUE	strong	TRUE	4	1	2	0	1
M200	TRUE	moderate	TRUE	2	1	1	0	0
M201	TRUE	moderate	TRUE	4	4	0	0	0
M202	TRUE	moderate	FALSE	0	0	0	0	0
M203	TRUE	moderate	FALSE	0	0	0	0	0
M204	TRUE	strong	FALSE	0	0	0	0	0
M205	TRUE	moderate	TRUE	3	0	0	3	0
M206	FALSE	none	FALSE	0	0	0	0	0
M207	TRUE	moderate	FALSE	0	0	0	0	0
M208	TRUE	moderate	TRUE	5	1	1	2	1
M209	TRUE	moderate	TRUE	4	1	2	0	1
M210	TRUE	moderate	TRUE	2	0	0	0	2
M211	TRUE	strong	TRUE	2	1	1	0	0
M212	TRUE	moderate	TRUE	2	2	0	0	0
M213	TRUE	moderate	TRUE	2	2	0	0	0
M214	FALSE	none	FALSE	0	0	0	0	0
M215	TRUE	moderate	FALSE	0	0	0	0	0
M216	FALSE	none	TRUE	3	0	1	1	1
M217	TRUE	moderate	FALSE	0	0	0	0	0
M218	FALSE	none	TRUE	2	2	0	0	0
M219	TRUE	moderate	TRUE	1	0	1	0	0
M220	TRUE	moderate	FALSE	0	0	0	0	0
M221	TRUE	moderate	TRUE	3	0	1	1	1
M222	TRUE	moderate	FALSE	0	0	0	0	0
M223	FALSE	none	FALSE	0	0	0	0	0
M224	TRUE	strong	TRUE	1	0	0	1	0
M225	FALSE	none	TRUE	2	1	0	0	1
M226	FALSE	none	FALSE	0	0	0	0	0
M227	TRUE	moderate	TRUE	2	1	1	0	0
M228	TRUE	moderate	FALSE	0	0	0	0	0
M229	FALSE	none	FALSE	0	0	0	0	0
M230	TRUE	moderate	TRUE	1	0	0	0	1
M231	FALSE	none	FALSE	0	0	0	0	0
M232	FALSE	none	FALSE	0	0	0	0	0
M233	TRUE	moderate	FALSE	0	0	0	0	0
M234	TRUE	moderate	TRUE	2	0	0	2	0
M235	TRUE	moderate	FALSE	0	0	0	0	0
M236	TRUE	moderate	TRUE	2	1	0	1	0
M237	FALSE	none	TRUE	2	1	1	0	0
M238	FALSE	none	TRUE	5	4	1	0	0
M239	TRUE	moderate	TRUE	3	2	0	1	0
M240	TRUE	moderate	FALSE	0	0	0	0	0
M241	TRUE	moderate	TRUE	2	1	0	1	0
M242	FALSE	none	TRUE	5	2	1	2	0
M243	TRUE	moderate	FALSE	0	0	0	0	0
M244	TRUE	moderate	FALSE	0	0	0	0	0
M245	TRUE	moderate	TRUE	3	1	2	0	0
M246	TRUE	moderate	TRUE	3	2	0	0	1
M247	FALSE	none	TRUE	5	1	1	2	1
M248	FALSE	none	FALSE	0	0	0	0	0
M249	TRUE	moderate	TRUE	2	1	0	0	1
M250	TRUE	moderate	TRUE	3	1	1	0	1
M251	TRUE	strong	TRUE	1	0	0	0	1
M252	FALSE	none	FALSE	0	0	0	0	0
M253	TRUE	moderate	TRUE	2	2	0	0	0
M254	FALSE	none	TRUE	2	1	1	0	0
M255	TRUE	moderate	FALSE	0	0	0	0	0
M256	TRUE	moderate	TRUE	3	1	2	0	0
M257	TRUE	moderate	FALSE	0	0	0	0	0
M258	FALSE	none	TRUE	1	0	0	0	1
M259	TRUE	strong	TRUE	2	1	1	0	0
M260	TRUE	moderate	FALSE	0	0	0	0	0
M261	TRUE	moderate	FALSE	0	0	0	0	0
M262	FALSE	none	TRUE	2	1	1	0	0
M263	TRUE	moderate	TRUE	1	1	0	0	0
M264	TRUE	moderate	TRUE	5	3	0	0	2
M265	FALSE	none	TRUE	4	2	1	1	0
M266	TRUE	moderate	FALSE	0	0	0	0	0
M267	TRUE	moderate	FALSE	0	0	0	0	0
M268	FALSE	none	TRUE	3	2	0	0	1
M269	TRUE	moderate	FALSE	0	0	0	0	0
M270	TRUE	moderate	TRUE	3	0	2	1	0
M271	TRUE	moderate	TRUE	4	1	1	1	1
M272	TRUE	moderate	TRUE	3	2	0	0	1
M273	FALSE	none	TRUE	3	1	0	2	0
M274	TRUE	moderate	FALSE	0	0	0	0	0
M275	TRUE	moderate	FALSE	0	0	0	0	0
M276	TRUE	moderate	FALSE	0	0	0	0	0
M277	TRUE	strong	FALSE	0	0	0	0	0
M278	FALSE	none	TRUE	3	1	0	0	2
M279	TRUE	moderate	FALSE	0	0	0	0	0
M280	FALSE	none	TRUE	1	0	0	1	0
M281	TRUE	moderate	TRUE	4	2	0	1	1
M282	TRUE	moderate	TRUE	2	2	0	0	0
M283	TRUE	moderate	TRUE	5	1	1	1	2
M284	TRUE	moderate	TRUE	4	1	1	0	2
M285	FALSE	none	FALSE	0	0	0	0	0
M286	TRUE	moderate	FALSE	0	0	0	0	0
M287	TRUE	moderate	FALSE	0	0	0	0	0
M288	FALSE	none	FALSE	0	0	0	0	0
M289	FALSE	none	TRUE	3	0	2	0	1
M290	TRUE	moderate	TRUE	3	1	2	0	0
M291	TRUE	moderate	FALSE	0	0	0	0	0
M292	TRUE	moderate	FALSE	0	0	0	0	0
M293	FALSE	none	TRUE	2	1	1	0	0
M294	TRUE	moderate	FALSE	0	0	0	0	0
