dataset_key	method_id	decision	evidence	final_validation	method	public_reproduction_decision	public_reproduction_evidence
simulation	raw	reuse_exact	SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
simulation	combat	reuse_exact	SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
simulation	qc_rlsc	reuse_exact	SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
simulation	qc_rfsc	reuse_exact	SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
simulation	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
simulation	serrf	reuse_exact	SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
mtbls79	raw	reuse_exact	canonical input matrix is the Raw result	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
mtbls79	combat	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
mtbls79	qc_rlsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
mtbls79	qc_rfsc	rerun_required	the selected configuration is recoverable, but the retained matrix does not contain the complete canonical feature panel	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
mtbls79	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
mtbls79	serrf	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
clinical_fiams	raw	reuse_exact	canonical input matrix is the Raw result	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
clinical_fiams	combat	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
clinical_fiams	qc_rlsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
clinical_fiams	qc_rfsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
clinical_fiams	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
clinical_fiams	serrf	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
batchcorr_set1	raw	reuse_exact	canonical input matrix is the Raw result	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
batchcorr_set1	combat	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
batchcorr_set1	qc_rlsc	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
batchcorr_set1	qc_rfsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
batchcorr_set1	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
batchcorr_set1	serrf	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
sacurine	raw	reuse_exact	canonical input matrix is the Raw result	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
sacurine	combat	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
sacurine	qc_rlsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
sacurine	qc_rfsc	rerun_required	the selected configuration is recoverable, but the retained matrix does not contain the complete canonical feature panel	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
sacurine	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
sacurine	serrf	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
waveica	raw	reuse_exact	canonical input matrix is the Raw result	pending	Raw	rerun_required	The Raw identity result is regenerated directly from the canonical prepared input.
waveica	combat	reuse_exact	endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable	pending	ComBat	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
waveica	qc_rlsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RLSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
waveica	qc_rfsc	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	QC-RFSC	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
waveica	tiger	rerun_required	native 4 x 4 TIGER ensemble with 500 trees required for the canonical input	pending	TIGER	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
waveica	serrf	rerun_required	endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available	pending	SERRF	rerun_required	Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.
