"metric","datasets","unit_of_analysis","feature_panel","missing_feature_handling","direction","category","available_during_selection","implementation","notes"
"heldout_qc_cv_mean","all six; partial confounding","feature","complete common feature panel; withheld references only","finite feature CVs; denominator reported","lower","technical",FALSE,"analysis/evaluation_helpers.R:qc_cv_ablation","Withheld references never enter fitting or selection."
"heldout_qc_cv_median","all six; partial confounding","feature","complete common feature panel; withheld references only","finite feature CVs; denominator reported","lower","technical",FALSE,"analysis/evaluation_helpers.R:qc_cv_ablation","Median complements the prespecified mean."
"heldout_qc_cv_sd","all six; partial confounding","feature","complete common feature panel; withheld references only","finite feature CVs; denominator reported","lower","technical",FALSE,"analysis/evaluation_helpers.R:qc_cv_ablation","Dispersion across features."
"residual_run_order_gam_mean_deviance","all six; partial confounding","feature-batch profile","study-sample common panel","profiles below minimum observations return NA; denominator reported","lower","technical",FALSE,"scripts/run_order_drift_helpers.R:compute_metabolite_segment_gam","GAM is fitted within contiguous categorical-batch segments."
"residual_run_order_gam_sd_deviance","all six","feature-batch profile","study-sample common panel","profiles below minimum observations return NA; denominator reported","lower","technical",FALSE,"scripts/run_order_drift_helpers.R:compute_metabolite_segment_gam","Dispersion across evaluable feature-batch profiles."
"residual_ljung_box_proportion_significant","all six; partial confounding","feature-batch profile","study-sample common panel","short or invariant profiles return NA; BH adjustment within method-batch-segment","lower","technical",FALSE,"scripts/run_order_drift_helpers.R:compute_metabolite_segment_ljung_box","Clinical data use adjacent-pair correction units, not the alternating dip sequence."
"batch_weighted_pc_r2_categorical","all six; partial confounding","variance-weighted principal components","study-sample common panel","complete aligned matrix required","lower","technical",FALSE,"scripts/weighted_pc_r2.R:weighted_pc_r2_explicit(target_type='categorical')","Batch is explicitly a factor."
"biological_weighted_pc_r2","MTBLS79; clinical FIA-MS; BatchCorr Set 1; Sacurine; WaveICA","variance-weighted principal components","study-sample common panel","complete aligned matrix required","higher","preservation",FALSE,"analysis/evaluation_helpers.R:evaluate_release_matrix","Interpret relative to Raw; an increase alone is not proof of better correction."
"biological_associated_features","MTBLS79; BatchCorr Set 1; Sacurine; WaveICA","feature or feature-variable test","study-sample common panel","feature tests with finite estimates; BH adjustment","context","preservation",FALSE,"scripts/winn_ablation_helpers.R:dataset-specific association helpers","Counts are interpreted with effect preservation, not as a standalone ranking."
"cross_batch_effect_pearson_median","Sacurine; WaveICA","batch-specific effect vector","study-sample common panel","finite paired effects only","higher","preservation",FALSE,"scripts/winn_ablation_helpers.R:dataset-specific biology helpers","Agreement of biological effects across batches."
"metabolite_icc_a1_median","MTBLS79","feature across matched cross-batch repeats","features with matched repeats in at least one batch pair","finite batch-pair ICC(A,1) values; median across pairs then features","higher","preservation",FALSE,"scripts/winn_ablation_helpers.R:mtbls79_feature_cross_batch_icc","Not reported for designs lacking matched cross-batch feature ratings."
"feature_repeatability_ratio_median","clinical FIA-MS; BatchCorr Set 1","feature across genuine replicate groups","study-sample common panel","finite between- and within-group variance estimates","higher","preservation",FALSE,"analysis/evaluation_helpers.R:evaluation_feature_repeatability; scripts/winn_ablation_helpers.R:batchcorr_feature_repeatability","Between-group variance divided by between plus within variance; deliberately not labelled ICC(A,1)."
"sample_replicate_pearson_median","MTBLS79; clinical FIA-MS; BatchCorr Set 1","genuine replicate group","study-sample common panel","finite pairwise feature-profile correlations","higher","preservation",FALSE,"analysis/evaluation_helpers.R:evaluation_group_replicates; scripts/winn_ablation_helpers.R:dataset-specific replicate helpers","No pseudo-replicates are constructed."
"genuine_replicate_icc_median","clinical FIA-MS; BatchCorr Set 1","genuine replicate feature profile","study-sample common panel","finite group-level ICC(A,1) estimates","higher","preservation",FALSE,"analysis/evaluation_helpers.R:evaluation_group_replicates; scripts/winn_ablation_helpers.R:batchcorr_replicate_metrics","Absolute-agreement ICC across replicate profiles."
"truth_metabolite_profile_icc_mean","truth-known simulation","feature profile across study samples","complete simulated feature panel","finite ICC(A,1) values; denominator reported","higher","truth",FALSE,"analysis/evaluation_helpers.R:icc_a1_ablation","Corrected feature profile compared with clean truth."
"truth_sample_profile_pearson_mean","truth-known simulation","study-sample feature profile","complete simulated feature panel","finite profile correlations; denominator reported","higher","truth",FALSE,"analysis/evaluation_helpers.R:safe_cor_ablation","Corrected sample profile compared with clean truth."
"truth_log1p_rmse","truth-known simulation","matrix entry","complete simulated study matrix","complete finite matrices required","lower","truth",FALSE,"analysis/evaluation_helpers.R:evaluate_release_matrix","RMSE after log1p transformation."
"retained_features","all six; partial confounding","feature","declared common panel","no silent omission permitted","higher","coverage",FALSE,"analysis/evaluation_helpers.R:evaluate_release_matrix","Reported against the canonical-input denominator."
"retained_samples","all six; partial confounding","sample or correction unit","declared common panel","no silent omission permitted","higher","coverage",FALSE,"analysis/evaluation_helpers.R:evaluate_release_matrix","Clinical count refers to adjacent-pair correction units."
"runtime_sec","all six; repeated simulation; reference splits; partial confounding","method run","not applicable","failed runs remain explicit","lower","runtime",FALSE,"analysis/release_helpers.R:release_capture","Correction runtime excludes final evaluation."
"drift_profiles_corrected","all six WiNN modes and ablations","feature-batch profile","complete common feature panel","NA for methods without WiNN stage decisions","descriptive","descriptive",FALSE,"analysis/evaluation_helpers.R:evaluation_winn_counts","Counts actual evidence-gated or forced corrections."
"drift_features_corrected","all six WiNN modes and ablations","feature","complete common feature panel","NA for methods without WiNN stage decisions","descriptive","descriptive",FALSE,"analysis/evaluation_helpers.R:evaluation_winn_counts","Unique features corrected in at least one batch profile."
"batch_features_corrected","all six WiNN modes and ablations","feature","complete common feature panel","NA for methods without WiNN stage decisions","descriptive","descriptive",FALSE,"analysis/evaluation_helpers.R:evaluation_winn_counts","Features receiving residual-batch correction."
"clean_sample_profile_pearson_mean","partial confounding","study sample","complete simulated feature panel","finite paired profiles","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Corrected sample profile versus clean truth."
"clean_sample_profile_pearson_median","partial confounding","study sample","complete simulated feature panel","finite paired profiles","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Median across study samples."
"clean_feature_profile_pearson_mean","partial confounding","feature","complete simulated study panel","finite paired profiles","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Corrected feature profile versus clean truth."
"clean_feature_profile_pearson_median","partial confounding","feature","complete simulated study panel","finite paired profiles","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Median across features."
"clean_feature_icc_a1_mean","partial confounding","feature","complete simulated study panel","finite ICC(A,1) values","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Corrected feature profile versus clean truth."
"clean_feature_icc_a1_median","partial confounding","feature","complete simulated study panel","finite ICC(A,1) values","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Median across features."
"clean_log1p_rmse_study","partial confounding","matrix entry","complete simulated study matrix","complete finite matrices required","lower","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Corrected versus clean log1p intensity."
"coefficient_pearson_vs_clean_all","partial confounding","feature effect","complete simulated feature panel","finite paired coefficients","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Recovered versus clean phenotype coefficients."
"coefficient_pearson_vs_injected_all","partial confounding","feature effect","complete simulated feature panel","finite paired coefficients","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Recovered versus injected phenotype coefficients."
"coefficient_pearson_vs_injected_responsive","partial confounding","responsive-feature effect","injected responsive features","finite paired coefficients","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Responsive subset only."
"coefficient_spearman_vs_injected_all","partial confounding","feature effect","complete simulated feature panel","finite paired coefficients","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Rank agreement with injected effects."
"effect_rmse_vs_clean_all","partial confounding","feature effect","complete simulated feature panel","finite paired coefficients","lower","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Recovered versus clean effects."
"effect_rmse_vs_clean_responsive","partial confounding","responsive-feature effect","injected responsive features","finite paired coefficients","lower","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Responsive subset only."
"effect_rmse_vs_injected_all","partial confounding","feature effect","complete simulated feature panel","finite paired coefficients","lower","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Recovered versus injected effects."
"effect_rmse_vs_injected_responsive","partial confounding","responsive-feature effect","injected responsive features","finite paired coefficients","lower","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Responsive subset only."
"median_attenuation_ratio_clean_responsive","partial confounding","responsive-feature effect","injected responsive features","finite nonzero reference effects","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Ratio is interpreted jointly with false-positive behavior."
"median_attenuation_ratio_injected_responsive","partial confounding","responsive-feature effect","injected responsive features","finite nonzero injected effects","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","One denotes complete injected-effect preservation."
"sign_concordance_responsive","partial confounding","responsive-feature effect","injected responsive features","finite paired coefficients","higher","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Fraction retaining the injected direction."
"true_positive_rate","partial confounding","responsive feature","injected responsive features","BH-adjusted finite feature tests","higher","association",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Detection at the declared threshold."
"null_feature_false_positive_rate","partial confounding","null feature","injected null features","BH-adjusted finite feature tests","lower","association",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","False positives among injected nulls."
"empirical_fdr","partial confounding","discovery","all discoveries","zero discoveries return the declared zero/NA convention","lower","association",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","False discoveries divided by discoveries."
"n_discoveries_bh_0p05","partial confounding","feature","complete simulated feature panel","finite BH-adjusted tests","descriptive","association",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Discovery count alone is not a performance ranking."
"phenotype_weighted_pc_r2_categorical","partial confounding","variance-weighted principal components","study-sample common panel","complete aligned matrix required","descriptive","preservation",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Phenotype structure is interpreted relative to the paired zero-confounding scenario."
"recovered_vs_injected_intercept","partial confounding","feature-effect regression","features with finite injected and recovered effects","finite coefficient pairs","descriptive","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Calibration intercept."
"recovered_vs_injected_slope","partial confounding","feature-effect regression","features with finite injected and recovered effects","finite coefficient pairs","descriptive","truth",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Calibration slope."
"residual_ljung_box_median_statistic","partial confounding","feature-batch profile","study-sample common panel","finite Ljung-Box tests","lower","technical",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Median residual statistic."
"residual_ljung_box_profiles_significant","partial confounding","feature-batch profile","study-sample common panel","finite BH-adjusted tests","lower","technical",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Significant-profile count."
"residual_ljung_box_profiles_tested","partial confounding","feature-batch profile","study-sample common panel","finite tests only","descriptive","coverage",FALSE,"scripts/robustness/partial_confounding_full_metrics.R","Denominator for the significant proportion."
