"dataset","seed_id","seed","sample_id","batch","run_order","within_batch_order","reference_type","assignment","exposed_as_control","member_injection_ids"
"simulation","SPLIT01",202608001,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT01",202608001,"S011","P1",11,11,"simulated_control","hidden",FALSE,"S011"
"simulation","SPLIT01",202608001,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT01",202608001,"S031","P1",31,31,"simulated_control","training",TRUE,"S031"
"simulation","SPLIT01",202608001,"S041","P1",41,41,"simulated_control","training",TRUE,"S041"
"simulation","SPLIT01",202608001,"S051","P1",51,51,"simulated_control","training",TRUE,"S051"
"simulation","SPLIT01",202608001,"S061","P1",61,61,"simulated_control","training",TRUE,"S061"
"simulation","SPLIT01",202608001,"S071","P1",71,71,"simulated_control","hidden",FALSE,"S071"
"simulation","SPLIT01",202608001,"S081","P1",81,81,"simulated_control","training",TRUE,"S081"
"simulation","SPLIT01",202608001,"S091","P1",91,91,"simulated_control","training",TRUE,"S091"
"simulation","SPLIT01",202608001,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT01",202608001,"S111","P2",111,11,"simulated_control","hidden",FALSE,"S111"
"simulation","SPLIT01",202608001,"S121","P2",121,21,"simulated_control","training",TRUE,"S121"
"simulation","SPLIT01",202608001,"S131","P2",131,31,"simulated_control","hidden",FALSE,"S131"
"simulation","SPLIT01",202608001,"S141","P2",141,41,"simulated_control","training",TRUE,"S141"
"simulation","SPLIT01",202608001,"S151","P2",151,51,"simulated_control","training",TRUE,"S151"
"simulation","SPLIT01",202608001,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT01",202608001,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT01",202608001,"S181","P2",181,81,"simulated_control","training",TRUE,"S181"
"simulation","SPLIT01",202608001,"S191","P2",191,91,"simulated_control","training",TRUE,"S191"
"simulation","SPLIT01",202608001,"S201","P3",201,1,"simulated_control","training",TRUE,"S201"
"simulation","SPLIT01",202608001,"S211","P3",211,11,"simulated_control","training",TRUE,"S211"
"simulation","SPLIT01",202608001,"S221","P3",221,21,"simulated_control","training",TRUE,"S221"
"simulation","SPLIT01",202608001,"S231","P3",231,31,"simulated_control","training",TRUE,"S231"
"simulation","SPLIT01",202608001,"S241","P3",241,41,"simulated_control","training",TRUE,"S241"
"simulation","SPLIT01",202608001,"S251","P3",251,51,"simulated_control","training",TRUE,"S251"
"simulation","SPLIT01",202608001,"S261","P3",261,61,"simulated_control","training",TRUE,"S261"
"simulation","SPLIT01",202608001,"S271","P3",271,71,"simulated_control","hidden",FALSE,"S271"
"simulation","SPLIT01",202608001,"S281","P3",281,81,"simulated_control","training",TRUE,"S281"
"simulation","SPLIT01",202608001,"S291","P3",291,91,"simulated_control","hidden",FALSE,"S291"
"simulation","SPLIT01",202608001,"S301","P4",301,1,"simulated_control","training",TRUE,"S301"
"simulation","SPLIT01",202608001,"S311","P4",311,11,"simulated_control","training",TRUE,"S311"
"simulation","SPLIT01",202608001,"S321","P4",321,21,"simulated_control","training",TRUE,"S321"
"simulation","SPLIT01",202608001,"S331","P4",331,31,"simulated_control","training",TRUE,"S331"
"simulation","SPLIT01",202608001,"S341","P4",341,41,"simulated_control","hidden",FALSE,"S341"
"simulation","SPLIT01",202608001,"S351","P4",351,51,"simulated_control","training",TRUE,"S351"
"simulation","SPLIT01",202608001,"S361","P4",361,61,"simulated_control","hidden",FALSE,"S361"
"simulation","SPLIT01",202608001,"S371","P4",371,71,"simulated_control","training",TRUE,"S371"
"simulation","SPLIT01",202608001,"S381","P4",381,81,"simulated_control","training",TRUE,"S381"
"simulation","SPLIT01",202608001,"S391","P4",391,91,"simulated_control","training",TRUE,"S391"
"simulation","SPLIT01",202608001,"S401","P5",401,1,"simulated_control","training",TRUE,"S401"
"simulation","SPLIT01",202608001,"S411","P5",411,11,"simulated_control","training",TRUE,"S411"
"simulation","SPLIT01",202608001,"S421","P5",421,21,"simulated_control","training",TRUE,"S421"
"simulation","SPLIT01",202608001,"S431","P5",431,31,"simulated_control","training",TRUE,"S431"
"simulation","SPLIT01",202608001,"S441","P5",441,41,"simulated_control","hidden",FALSE,"S441"
"simulation","SPLIT01",202608001,"S451","P5",451,51,"simulated_control","training",TRUE,"S451"
"simulation","SPLIT01",202608001,"S461","P5",461,61,"simulated_control","training",TRUE,"S461"
"simulation","SPLIT01",202608001,"S471","P5",471,71,"simulated_control","hidden",FALSE,"S471"
"simulation","SPLIT01",202608001,"S481","P5",481,81,"simulated_control","training",TRUE,"S481"
"simulation","SPLIT01",202608001,"S491","P5",491,91,"simulated_control","training",TRUE,"S491"
"simulation","SPLIT02",202608002,"S001","P1",1,1,"simulated_control","training",TRUE,"S001"
"simulation","SPLIT02",202608002,"S011","P1",11,11,"simulated_control","hidden",FALSE,"S011"
"simulation","SPLIT02",202608002,"S021","P1",21,21,"simulated_control","training",TRUE,"S021"
"simulation","SPLIT02",202608002,"S031","P1",31,31,"simulated_control","hidden",FALSE,"S031"
"simulation","SPLIT02",202608002,"S041","P1",41,41,"simulated_control","training",TRUE,"S041"
"simulation","SPLIT02",202608002,"S051","P1",51,51,"simulated_control","training",TRUE,"S051"
"simulation","SPLIT02",202608002,"S061","P1",61,61,"simulated_control","training",TRUE,"S061"
"simulation","SPLIT02",202608002,"S071","P1",71,71,"simulated_control","training",TRUE,"S071"
"simulation","SPLIT02",202608002,"S081","P1",81,81,"simulated_control","training",TRUE,"S081"
"simulation","SPLIT02",202608002,"S091","P1",91,91,"simulated_control","training",TRUE,"S091"
"simulation","SPLIT02",202608002,"S101","P2",101,1,"simulated_control","training",TRUE,"S101"
"simulation","SPLIT02",202608002,"S111","P2",111,11,"simulated_control","training",TRUE,"S111"
"simulation","SPLIT02",202608002,"S121","P2",121,21,"simulated_control","hidden",FALSE,"S121"
"simulation","SPLIT02",202608002,"S131","P2",131,31,"simulated_control","training",TRUE,"S131"
"simulation","SPLIT02",202608002,"S141","P2",141,41,"simulated_control","training",TRUE,"S141"
"simulation","SPLIT02",202608002,"S151","P2",151,51,"simulated_control","hidden",FALSE,"S151"
"simulation","SPLIT02",202608002,"S161","P2",161,61,"simulated_control","training",TRUE,"S161"
"simulation","SPLIT02",202608002,"S171","P2",171,71,"simulated_control","training",TRUE,"S171"
"simulation","SPLIT02",202608002,"S181","P2",181,81,"simulated_control","training",TRUE,"S181"
"simulation","SPLIT02",202608002,"S191","P2",191,91,"simulated_control","training",TRUE,"S191"
"simulation","SPLIT02",202608002,"S201","P3",201,1,"simulated_control","training",TRUE,"S201"
"simulation","SPLIT02",202608002,"S211","P3",211,11,"simulated_control","training",TRUE,"S211"
