"sample_id","plate","order_in_plate","run_order","sample_type","batch","within_batch_order","class","is_qc","is_hidden_reference","reference_role"
"S001","P1",1,1,"control","P1",1,"QC",TRUE,FALSE,"training_control"
"S002","P1",2,2,"sample","P1",2,"Study",FALSE,FALSE,"not_a_control"
"S003","P1",3,3,"sample","P1",3,"Study",FALSE,FALSE,"not_a_control"
"S004","P1",4,4,"sample","P1",4,"Study",FALSE,FALSE,"not_a_control"
"S005","P1",5,5,"sample","P1",5,"Study",FALSE,FALSE,"not_a_control"
"S006","P1",6,6,"sample","P1",6,"Study",FALSE,FALSE,"not_a_control"
"S007","P1",7,7,"sample","P1",7,"Study",FALSE,FALSE,"not_a_control"
"S008","P1",8,8,"sample","P1",8,"Study",FALSE,FALSE,"not_a_control"
"S009","P1",9,9,"sample","P1",9,"Study",FALSE,FALSE,"not_a_control"
"S010","P1",10,10,"sample","P1",10,"Study",FALSE,FALSE,"not_a_control"
"S011","P1",11,11,"control","P1",11,"QC",TRUE,FALSE,"training_control"
"S012","P1",12,12,"sample","P1",12,"Study",FALSE,FALSE,"not_a_control"
"S013","P1",13,13,"sample","P1",13,"Study",FALSE,FALSE,"not_a_control"
"S014","P1",14,14,"sample","P1",14,"Study",FALSE,FALSE,"not_a_control"
"S015","P1",15,15,"sample","P1",15,"Study",FALSE,FALSE,"not_a_control"
"S016","P1",16,16,"sample","P1",16,"Study",FALSE,FALSE,"not_a_control"
"S017","P1",17,17,"sample","P1",17,"Study",FALSE,FALSE,"not_a_control"
"S018","P1",18,18,"sample","P1",18,"Study",FALSE,FALSE,"not_a_control"
"S019","P1",19,19,"sample","P1",19,"Study",FALSE,FALSE,"not_a_control"
"S020","P1",20,20,"sample","P1",20,"Study",FALSE,FALSE,"not_a_control"
"S021","P1",21,21,"control","P1",21,"QC",TRUE,FALSE,"training_control"
"S022","P1",22,22,"sample","P1",22,"Study",FALSE,FALSE,"not_a_control"
"S023","P1",23,23,"sample","P1",23,"Study",FALSE,FALSE,"not_a_control"
"S024","P1",24,24,"sample","P1",24,"Study",FALSE,FALSE,"not_a_control"
"S025","P1",25,25,"sample","P1",25,"Study",FALSE,FALSE,"not_a_control"
