"metric","metric_direction","units","primary_preservation_endpoint","injected_scale_secondary"
"coefficient_pearson_vs_injected_all","higher","correlation_or_proportion",FALSE,TRUE
"coefficient_spearman_vs_injected_all","higher","correlation_or_proportion",FALSE,TRUE
"coefficient_pearson_vs_injected_responsive","higher","correlation_or_proportion",FALSE,TRUE
"coefficient_pearson_vs_clean_all","higher","correlation_or_proportion",FALSE,FALSE
"effect_rmse_vs_injected_all","lower","log1p_effect_or_ratio",FALSE,TRUE
"effect_rmse_vs_injected_responsive","lower","log1p_effect_or_ratio",FALSE,TRUE
"effect_rmse_vs_clean_all","lower","log1p_effect_or_ratio",FALSE,FALSE
"effect_rmse_vs_clean_responsive","lower","log1p_effect_or_ratio",TRUE,FALSE
"recovered_vs_injected_slope","descriptive","log1p_effect_or_ratio",FALSE,TRUE
"recovered_vs_injected_intercept","descriptive","log1p_effect_or_ratio",FALSE,TRUE
"median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",FALSE,TRUE
"median_attenuation_ratio_clean_responsive","higher","log1p_effect_or_ratio",TRUE,FALSE
"sign_concordance_responsive","higher","correlation_or_proportion",FALSE,FALSE
"n_discoveries_bh_0p05","descriptive","count",FALSE,FALSE
"true_positive_rate","higher","proportion",TRUE,FALSE
"empirical_fdr","lower","proportion",FALSE,FALSE
"null_feature_false_positive_rate","lower","proportion",FALSE,FALSE
"clean_log1p_rmse_study","lower","log1p_effect_or_ratio",FALSE,FALSE
"clean_sample_profile_pearson_mean","higher","correlation_or_proportion",FALSE,FALSE
"clean_sample_profile_pearson_median","higher","correlation_or_proportion",FALSE,FALSE
"clean_feature_profile_pearson_mean","higher","correlation_or_proportion",FALSE,FALSE
"clean_feature_profile_pearson_median","higher","correlation_or_proportion",FALSE,FALSE
"clean_feature_icc_a1_mean","higher","value",FALSE,FALSE
"clean_feature_icc_a1_median","higher","value",FALSE,FALSE
"heldout_qc_cv_mean","lower","percent",FALSE,FALSE
"heldout_qc_cv_median","lower","percent",FALSE,FALSE
"heldout_qc_cv_sd","lower","percent",FALSE,FALSE
"batch_weighted_pc_r2_categorical","lower","weighted_R2",FALSE,FALSE
"phenotype_weighted_pc_r2_categorical","descriptive","weighted_R2",FALSE,FALSE
"residual_ljung_box_profiles_tested","descriptive","count",FALSE,FALSE
"residual_ljung_box_profiles_significant","lower","count",FALSE,FALSE
"residual_ljung_box_proportion_significant","lower","proportion",FALSE,FALSE
"residual_ljung_box_median_statistic","lower","value",FALSE,FALSE
"residual_run_order_gam_mean_deviance","lower","value",FALSE,FALSE
"retained_features","higher","count",FALSE,FALSE
"retained_samples","higher","count",FALSE,FALSE
"runtime_sec","lower","seconds",FALSE,FALSE
