"confounding_type","level","method","metric","metric_direction","units","n","mean","sd","median","q1","q3","minimum","maximum","metric_label"
"batch",0.25,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.962612644536858,0.00158641686001144,0.962927323784279,0.962587362397159,0.963546499700744,0.959619762085355,0.964249375656243,"Batch weighted-PC R²"
"batch",0.25,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.52353053905745,0.0136982501382875,0.525328500013276,0.516629725559187,0.532266321298875,0.497908485568458,0.54343723502254,"Clean sample-profile Pearson"
"batch",0.25,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.501057335789334,0.0050300580152253,0.50074586068406,0.498944318637905,0.503883448661165,0.492984458253848,0.50886432718614,"Responsive-effect ratio"
"batch",0.25,"Raw","residual_run_order_gam_mean_deviance","lower","value",10,0.128839519583027,0.00466492794389816,0.12921169076214,0.125423988147111,0.131852319462733,0.121514286499646,0.13716407079489,"Residual GAM deviance"
"batch",0.25,"WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.00221544482192325,0.000521327374682835,0.00222547778782565,0.00174065681440962,0.00250202642969581,0.00162832556391237,0.00323589982671574,"Batch weighted-PC R²"
"batch",0.25,"WiNN fixed default (no QC)","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.922812566742384,0.00344681912588441,0.922514595161501,0.920467213785033,0.92466044617915,0.918363561361796,0.929364465035019,"Clean sample-profile Pearson"
"batch",0.25,"WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.467871096146558,0.0107965472145284,0.472054544061602,0.457219782420055,0.476622598206025,0.452549554637699,0.480108714325972,"Responsive-effect ratio"
"batch",0.25,"WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance","lower","value",10,0.02100274636442,0.000595231454264409,0.0210246046210423,0.020599278769611,0.0214312820963189,0.0200752606584996,0.0219128188959368,"Residual GAM deviance"
"batch",0.5,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.962638922119714,0.00166667066426351,0.962902375415849,0.962485482140729,0.963647374841536,0.959600683596798,0.964695303254945,"Batch weighted-PC R²"
"batch",0.5,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.523495561755541,0.0136154922038941,0.525490457321883,0.51636168530063,0.532035888711456,0.498196648546156,0.54298512730418,"Clean sample-profile Pearson"
"batch",0.5,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.50105452441597,0.0101878654047807,0.502461238652965,0.492848340061288,0.510316878251837,0.484162459154995,0.512651218832966,"Responsive-effect ratio"
"batch",0.5,"Raw","residual_run_order_gam_mean_deviance","lower","value",10,0.128903031933562,0.00468914517860376,0.129085517309454,0.125407893662802,0.131983227628367,0.121743880877123,0.137316759744097,"Residual GAM deviance"
"batch",0.5,"WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.00166321580647825,0.000314515304679623,0.00157950485778696,0.00142250727963687,0.00188667328299597,0.0012923261085965,0.00222062018955485,"Batch weighted-PC R²"
"batch",0.5,"WiNN fixed default (no QC)","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.92109244120578,0.00350990129648262,0.920917341158331,0.918552194253427,0.922869160337658,0.916596507386772,0.927846670942291,"Clean sample-profile Pearson"
"batch",0.5,"WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.46485774257692,0.0106270767801317,0.465044492668818,0.459000426256425,0.474769569370346,0.444195606050474,0.476390371918606,"Responsive-effect ratio"
"batch",0.5,"WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance","lower","value",10,0.0208516605087572,0.000560531352039542,0.0209679927462959,0.0203284301348414,0.0210993919003765,0.0201019987967697,0.0218135394800049,"Residual GAM deviance"
"batch",0.75,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.962744276132201,0.00168189215378181,0.963060649676024,0.962596133187794,0.963723146004974,0.959782999317525,0.964943309081485,"Batch weighted-PC R²"
"batch",0.75,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.523456186820235,0.013515165660091,0.525703394804226,0.516104157781323,0.531923315787519,0.498417078519351,0.542412062492416,"Clean sample-profile Pearson"
"batch",0.75,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.497462580906532,0.0110363728731096,0.493016324797408,0.48919779538134,0.504667986524575,0.48808270337999,0.517854433148534,"Responsive-effect ratio"
"batch",0.75,"Raw","residual_run_order_gam_mean_deviance","lower","value",10,0.129234669980904,0.00472930945277282,0.129343724607773,0.125804244097769,0.132293931756767,0.122091292455229,0.137852244221233,"Residual GAM deviance"
"batch",0.75,"WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.00279914801715641,0.000282490664839901,0.00275840429368617,0.002692018715142,0.00294863276595426,0.00233246099882345,0.00333431755605496,"Batch weighted-PC R²"
"batch",0.75,"WiNN fixed default (no QC)","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.918561500668053,0.0035197926461869,0.918473501479613,0.915900048233249,0.920268866689121,0.914072250101565,0.9253311079824,"Clean sample-profile Pearson"
"batch",0.75,"WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.462600274484756,0.0155119937675609,0.459449108936633,0.456010262672325,0.465546785759527,0.439281173955073,0.494362362022017,"Responsive-effect ratio"
"batch",0.75,"WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance","lower","value",10,0.0208298720618205,0.000588199805869814,0.020907228851225,0.0203202839345655,0.0212240134852828,0.0200297562926022,0.0218139809593014,"Residual GAM deviance"
"batch",0.9,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.962972380795089,0.00167754262039353,0.963296426784319,0.962832132874986,0.963964982317275,0.960057439951498,0.965104378854081,"Batch weighted-PC R²"
"batch",0.9,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.523463265161811,0.0134266637924341,0.525916844964152,0.515981671419132,0.531810971498337,0.498706595828642,0.542157892507009,"Clean sample-profile Pearson"
"batch",0.9,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.49475529140822,0.0149786001422252,0.49735257703921,0.488806425508778,0.50510517732413,0.459477018022597,0.509715684936616,"Responsive-effect ratio"
"batch",0.9,"Raw","residual_run_order_gam_mean_deviance","lower","value",10,0.129536527523342,0.00480885347466633,0.129515988606508,0.126010926059934,0.13271006670273,0.122395311896213,0.138371605650978,"Residual GAM deviance"
"batch",0.9,"WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.00412787824166916,0.000431953915444793,0.00408550063603389,0.00390772829986757,0.0041908659634629,0.00346339713061914,0.00505255707746181,"Batch weighted-PC R²"
"batch",0.9,"WiNN fixed default (no QC)","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.916480241638973,0.00352393747537178,0.91644128076572,0.913849173397128,0.918192059174475,0.911967516227201,0.923266102536839,"Clean sample-profile Pearson"
"batch",0.9,"WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.461669317479436,0.0140830947332342,0.465795851685855,0.448966755768237,0.472200540095124,0.442380224533801,0.481070097627105,"Responsive-effect ratio"
"batch",0.9,"WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance","lower","value",10,0.0208196840622227,0.00058333304580436,0.0209155156231751,0.0202974516363871,0.0211686621119848,0.0199738754805301,0.0217428277801582,"Residual GAM deviance"
"batch",1,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.963196640818854,0.00169674843589828,0.963504549195157,0.962982249742627,0.964249606767862,0.960293912533272,0.965426332086705,"Batch weighted-PC R²"
"batch",1,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.523436709243727,0.0134107787590036,0.525814188933377,0.515836009809493,0.531840397815386,0.498795846306547,0.542016422844885,"Clean sample-profile Pearson"
"batch",1,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.486367002026156,0.0256984478614482,0.482271541329375,0.476830132950723,0.502394519211977,0.447387918316781,0.525455199167458,"Responsive-effect ratio"
