"method_id","method","metric","direction","units","n","mean","sd","median","q1","q3","minimum","maximum"
"combat","ComBat","batch_features_corrected","descriptive","features",0,,,,,,,
"combat","ComBat","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.00010052129605567,2.41485776531642e-05,0.000108659744357447,9.50638106367757e-05,0.000117037541517833,5.50431403365288e-05,0.000122495485361499
"combat","ComBat","drift_features_corrected","descriptive","features",0,,,,,,,
"combat","ComBat","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"combat","ComBat","heldout_qc_cv_mean","lower","percent",10,12.552271727652,0.501274852095515,12.8310472055281,12.0418770611445,12.9345802553983,11.7840832213615,13.0099848734501
"combat","ComBat","heldout_qc_cv_median","lower","percent",10,10.5251696761468,0.543493158684221,10.6966610847534,10.1242612644924,10.884597182695,9.65155002587295,11.3635268197522
"combat","ComBat","heldout_qc_cv_sd","lower","percent",10,9.83045434935525,0.559380417413987,9.87761952258176,9.30167251441382,10.3107035362844,9.08855388598876,10.6293989882952
"combat","ComBat","residual_ljung_box_proportion_significant","lower","proportion",10,0.24442,0.00937725380316054,0.2456,0.2388,0.25195,0.2252,0.2558
"combat","ComBat","residual_run_order_gam_mean_deviance","lower","proportion",10,0.125052672714948,0.00315704862650548,0.126078108873152,0.122718113204729,0.127423262244033,0.118898984586409,0.128998990277918
"combat","ComBat","residual_run_order_gam_sd_deviance","lower","proportion",10,0.192909655770175,0.00281403237638176,0.192810054486006,0.191162740340367,0.195243542024742,0.188862574714099,0.197313916613525
"combat","ComBat","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"combat","ComBat","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"combat","ComBat","runtime_sec","lower","seconds",0,,,,,,,
"combat","ComBat","truth_log1p_rmse","lower","log1p intensity",10,0.103073489979309,0.00117789747896197,0.103139865626658,0.10243612194687,0.103965301011968,0.100722739664892,0.104715439921577
"combat","ComBat","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.880346606049155,0.00223439434037431,0.879741047906589,0.879041753735343,0.881080422951789,0.877058464265466,0.884428349022765
"combat","ComBat","truth_sample_profile_pearson_mean","higher","correlation",10,0.88060748260471,0.00227666948354643,0.88052086679655,0.879416582745029,0.881932481276325,0.877091043230342,0.885111168890785
"qc_rfsc","QC-RFSC","batch_features_corrected","descriptive","features",0,,,,,,,
"qc_rfsc","QC-RFSC","batch_weighted_pc_r2_categorical","lower","weighted R-squared",10,0.144605988470869,0.0154539070704019,0.143170221332223,0.13558314950677,0.154065345140078,0.117154334724755,0.173127057682881
"qc_rfsc","QC-RFSC","drift_features_corrected","descriptive","features",0,,,,,,,
"qc_rfsc","QC-RFSC","drift_profiles_corrected","descriptive","profiles",0,,,,,,,
"qc_rfsc","QC-RFSC","heldout_qc_cv_mean","lower","percent",10,15.9161928234085,6.25681815519863,14.0696284718795,13.2115673123268,16.8836367882505,10.2234590360892,32.0168289753813
"qc_rfsc","QC-RFSC","heldout_qc_cv_median","lower","percent",10,14.1323221031162,5.1176619687581,13.1006653869713,11.8281132124927,15.3721605701861,7.86025268456171,25.7857994006264
"qc_rfsc","QC-RFSC","heldout_qc_cv_sd","lower","percent",10,13.8983346592572,5.33170035554561,12.3442580995107,11.5609562116998,14.7342298871002,8.89517432800423,27.9376451981716
"qc_rfsc","QC-RFSC","residual_ljung_box_proportion_significant","lower","proportion",10,0.17904,0.0245544836367346,0.1749,0.1684,0.19075,0.1422,0.2184
"qc_rfsc","QC-RFSC","residual_run_order_gam_mean_deviance","lower","proportion",10,0.118901549990362,0.00949024588068466,0.117955403743258,0.1155478070009,0.125344767405441,0.104724087368954,0.13208767932442
"qc_rfsc","QC-RFSC","residual_run_order_gam_sd_deviance","lower","proportion",10,0.139417040022177,0.00992983716079605,0.137348397550762,0.13449639650174,0.146127000845576,0.125480733218435,0.155681868412352
"qc_rfsc","QC-RFSC","retained_features","higher","features",10,1000,0,1000,1000,1000,1000,1000
"qc_rfsc","QC-RFSC","retained_samples","higher","samples",10,500,0,500,500,500,500,500
"qc_rfsc","QC-RFSC","runtime_sec","lower","seconds",0,,,,,,,
"qc_rfsc","QC-RFSC","truth_log1p_rmse","lower","log1p intensity",10,0.202566871477885,0.00510237819489425,0.202439764926392,0.199221351130603,0.204479807577519,0.194483540578911,0.212593356473589
"qc_rfsc","QC-RFSC","truth_metabolite_profile_icc_mean","higher","ICC(A,1)",10,0.695542886227097,0.0067637064849891,0.696090604709876,0.691257214437612,0.697539326332461,0.683710451851543,0.706850122462393
"qc_rfsc","QC-RFSC","truth_sample_profile_pearson_mean","higher","correlation",10,0.660557552076,0.011361453923936,0.658223433680315,0.655832896660642,0.663942698395723,0.643051864418511,0.682481784426063
"qc_rlsc","QC-RLSC","batch_features_corrected","descriptive","features",0,,,,,,,
