"method_id","dataset_key","selection_class","selection_criterion","selected_parameters","candidate_count","training_qc_values_available","hidden_qc_values_available","biological_labels_available","replicate_identities_available","preservation_endpoints_available","batch_r2_available","final_rank_available","method","selection_seed","source_package","source_version","information_available_during_selection","departure_from_native_default","departure_justification","configuration_frozen_before_evaluation"
"raw","simulation","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072601,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"combat","simulation","published_or_native_default","prespecified conventional empirical-Bayes default","par_prior=TRUE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072602,"sva","3.56.0","supplied batch labels only",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"qc_rlsc","simulation","fixed_design_safeguard","prespecified before SIM01","span=0.75; degree=1",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072603,"qcrlscR","0.1.3","published or prespecified setting only; no evaluation endpoint available",TRUE,"Prespecified design safeguard used where native tuning was not reliable for the available QC layout.",TRUE
"qc_rfsc","simulation","prespecified_default","prespecified before SIM01","ntree=500; coCV=30; Frule=0.8",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072604,"statTarget","1.38.0","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"tiger","simulation","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072605,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","simulation","native_default","native QC procedure","jitter_eps=0; documented fallback only after numerical failure",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072606,"malbacR","0.1.0","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_qc","simulation","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072607,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","simulation","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072608,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","simulation","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072609,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"raw","mtbls79","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072610,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"combat","mtbls79","training_qc_selected","frozen training-QC score","par_prior=TRUE",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ComBat",2026072611,"sva","3.56.0","training-QC intensities and supplied batch labels",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rlsc","mtbls79","training_qc_selected","frozen training-QC score","span=0.7; degree=1",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RLSC",2026072612,"qcrlscR","0.1.3","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"qc_rfsc","mtbls79","training_qc_selected","frozen training-QC score","ntree=200; coCV=20; Frule=0.8",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"QC-RFSC",2026072613,"statTarget","1.38.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"tiger","mtbls79","native_default","native TIGER ensemble; acquisition order supplied because it is reliable","use_injection=TRUE; mtry_percent=0.2,0.4,0.6,0.8; nodesize_percent=0.2,0.4,0.6,0.8; ntree=500",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TIGER",2026072614,"TIGERr","1.0.2","published or prespecified setting only; no evaluation endpoint available",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"serrf","mtbls79","training_qc_selected","frozen training-QC score","jitter_eps=1e-5",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SERRF",2026072615,"malbacR","0.1.0","training-QC intensities, run order, supplied batch labels, and training-QC identities",TRUE,"Selected from the frozen candidate grid using training-QC score only.",TRUE
"winn_auto_qc","mtbls79","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=TRUE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto (QC)",2026072616,"winn","0.1.4","training-QC intensities, run order, supplied batch labels, and training-QC identities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_auto_batch_qc","mtbls79","package_auto","package auto-selection using training QCs only","parameters=auto; supplied_batch=FALSE; controls=training_only; ljung_box_fitdf=0",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN auto-batch (QC)",2026072617,"winn","0.1.4","training-QC intensities, run order, and training-QC identities; no supplied batch labels",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"winn_fixed_no_qc","mtbls79","fixed_primary","prespecified package default","parameters=fixed; supplied_batch=TRUE; controls=NULL; fdr=0.05; Ljung-Box fitdf=0; conservative spline; ANOVA selective; PQN shrink",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WiNN fixed default (no QC)",2026072618,"winn","0.1.4","supplied batch labels and run order; no QC identities or intensities",FALSE,"No departure from the published, native, or prespecified default.",TRUE
"raw","clinical_fiams","fixed","identity; no selection","identity",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raw",2026072619,"base R","4.5.1","none",FALSE,"No departure from the published, native, or prespecified default.",TRUE
