"dataset_key","method_id","decision","evidence","final_validation","method","public_reproduction_decision","public_reproduction_evidence","recorded_reuse_decision","seed","n_features","n_samples","input_object_sha256","output_object_sha256","matrix_file_sha256","package_version","package_source_sha256","warning_lines","error_lines","decision_matches_run_manifest"
"simulation","raw","reuse_exact","SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072601,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","b7f8874f4c580d39315a7e082d12bfe4da24f4120e655bcbb00a6730b7d552f1","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"simulation","combat","reuse_exact","SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072602,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","faa1dd88299ceadbd9154729bff4c17c60df1138c12256ee825920b7b29c48c1","ad1f21c006ff4d49f05094a604e14abc082aeab842bb70f51e576934c909f211","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"simulation","qc_rlsc","reuse_exact","SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072603,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","771a19ad0bbbb6a360ac995e5def6be9e998e6949de3ae6b05493cc10fa41bf3","84a5cd3d1a9c35154d07b203b631ff35a420c62dd4cade546e704a47c326b3f9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"simulation","qc_rfsc","reuse_exact","SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072604,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","866b56481006d0d5dd1a57674d3cdcc3810e55dd75272cb82dfc0c49ba5b4b02","f39aab0549dbd9518222d15326686957da5e154973be298c53c543bbef1ccfb2","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"simulation","tiger","rerun_required","native 4 x 4 TIGER ensemble with 500 trees required for the canonical input","passed","TIGER","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072605,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","64598ee5bfececa48eeb05cb74f3f5c420c38e5d1b4d47289d1d9085db91b310","c90a28c3125ad3a234834af03b96cc025c5dcbce044fd37dd8aceb60eee99b4a","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"simulation","serrf","reuse_exact","SIM01 configuration was frozen before truth evaluation and the complete corrected matrix is recoverable","passed","SERRF","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072606,1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","a278eff367358563d5d79f47879fe4cda3b3c3d781537183ddc85a7246f49106","387211b9c79fcd30c6fd1f7a94de24d6e8df257ed390759cf2fcfbb079b7e4d9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"mtbls79","raw","reuse_exact","canonical input matrix is the Raw result","passed","Raw","rerun_required","The Raw identity result is regenerated directly from the canonical prepared input.","reuse_exact",2026072610,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","0e8af677bf210195b3041338663356fd28c1f7e6b29289cfdf10b2974ceb0fe1","c5b5af02e8273def3408554384d38d3c773e92de17c01d7af01de30fd270f8d6","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"mtbls79","combat","reuse_exact","endpoint-free selection chose the existing fitted configuration; full matrix, seed, input, and checksum are recoverable","passed","ComBat","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","reuse_exact",2026072611,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","b5d71d5602bab25fa5aea1a2a7aeb6547356ef5c7972f996ce7a060554250653","84c1f3565b8ced299f2b83b41030110f771474686697c2b2fc241eb4d8fa98c6","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
"mtbls79","qc_rlsc","rerun_required","endpoint-free training-QC selection chose a different configuration and no retained full selected matrix is available","passed","QC-RLSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072612,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","baf501ab32d80c73fd0177b2714406fecfed8f3cbdf8d02d340ed425035de533","3a772300eb0537c1a7fb3c366236f3665b8e63b04728b93a1a02c52aed583423","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",31,0,TRUE
"mtbls79","qc_rfsc","rerun_required","the selected configuration is recoverable, but the retained matrix does not contain the complete canonical feature panel","passed","QC-RFSC","rerun_required","Large corrected matrices are not distributed; a clean public checkout fits the method from the canonical prepared input.","rerun_required",2026072613,2488,172,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cfc48e1198041437a15b868dba065daf51886b4bcea2a8c9acbcf9e71572cb0c","cb1f3fea15d5e66436f4f436ce1f9eecad3f9f8dce13e7eae7efcbd85885901b","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1",0,0,TRUE
