"confounding_type","level","method","metric","metric_direction","units","n","mean","sd","median","q1","q3","minimum","maximum"
"batch",0.25,"Raw","batch_weighted_pc_r2_categorical","lower","weighted_R2",10,0.962612644536858,0.00158641686001144,0.962927323784279,0.962587362397159,0.963546499700744,0.959619762085355,0.964249375656243
"batch",0.25,"Raw","clean_feature_icc_a1_mean","higher","value",10,0.588592955407694,0.0103736957191247,0.58802645966079,0.584729959228571,0.591531843100794,0.57566148689301,0.612355001421662
"batch",0.25,"Raw","clean_feature_icc_a1_median","higher","value",10,0.560383428930915,0.0150336133881634,0.556777860676788,0.54749148407999,0.570857260186643,0.544614485718036,0.590606046429294
"batch",0.25,"Raw","clean_feature_profile_pearson_mean","higher","correlation_or_proportion",10,0.652377917206391,0.00888013301159501,0.652230548301284,0.64881390679855,0.655169561005229,0.64105990811664,0.672519893249734
"batch",0.25,"Raw","clean_feature_profile_pearson_median","higher","correlation_or_proportion",10,0.628881580241337,0.0122612218949375,0.624914486876422,0.620207148818748,0.636091064041837,0.616083500996652,0.65540115661557
"batch",0.25,"Raw","clean_log1p_rmse_study","lower","log1p_effect_or_ratio",10,0.292856117417066,0.0105260840412163,0.29065284741563,0.285768612298756,0.298897816693708,0.27782251592106,0.312123169686613
"batch",0.25,"Raw","clean_sample_profile_pearson_mean","higher","correlation_or_proportion",10,0.52353053905745,0.0136982501382875,0.525328500013276,0.516629725559187,0.532266321298875,0.497908485568458,0.54343723502254
"batch",0.25,"Raw","clean_sample_profile_pearson_median","higher","correlation_or_proportion",10,0.52389571155695,0.0133485606662395,0.525129481775754,0.515455139305368,0.533085786879544,0.499209917736725,0.544569142813426
"batch",0.25,"Raw","coefficient_pearson_vs_clean_all","higher","correlation_or_proportion",10,0.986726212941278,0.0055135160825509,0.989843105373087,0.981158764382659,0.99068571840794,0.978757708803454,0.992681984543299
"batch",0.25,"Raw","coefficient_pearson_vs_injected_all","higher","correlation_or_proportion",10,0.942926882293475,0.00559236682093522,0.945300578527822,0.938270197219334,0.946951523422185,0.933055633763088,0.948097229917297
"batch",0.25,"Raw","coefficient_pearson_vs_injected_responsive","higher","correlation_or_proportion",10,0.993861642248693,0.000707400587059295,0.993670033573447,0.99329053935985,0.994420531661841,0.992908761100181,0.995080157000779
"batch",0.25,"Raw","coefficient_spearman_vs_injected_all","higher","correlation_or_proportion",10,0.520336689798318,0,0.520336689798318,0.520336689798318,0.520336689798318,0.520336689798318,0.520336689798318
"batch",0.25,"Raw","effect_rmse_vs_clean_all","lower","log1p_effect_or_ratio",10,0.00936801471341983,0.0019784436985201,0.00826732201848723,0.00795979968470147,0.0114435825840697,0.00720191520678687,0.0122159091993109
"batch",0.25,"Raw","effect_rmse_vs_clean_responsive","lower","log1p_effect_or_ratio",10,0.00927341636709569,0.00238030592093613,0.00857986551398109,0.00754617031746217,0.011193570562996,0.00584613499973666,0.0127338941488168
"batch",0.25,"Raw","effect_rmse_vs_injected_all","lower","log1p_effect_or_ratio",10,0.0587353223951982,0.000645568666017203,0.0588890495042177,0.0584776298867824,0.0591423315996807,0.0574764263675895,0.0594569115552047
"batch",0.25,"Raw","effect_rmse_vs_injected_responsive","lower","log1p_effect_or_ratio",10,0.176230142452984,0.00191507340838028,0.17630644079547,0.175638992896231,0.177254551276951,0.172570219526753,0.179489292358201
"batch",0.25,"Raw","empirical_fdr","lower","proportion",10,0.050905116643371,0.0186166413300971,0.0521114106019767,0.0407509157509158,0.0632163639569741,0.0196078431372549,0.0825688073394495
"batch",0.25,"Raw","heldout_qc_cv_mean","lower","percent",10,45.0597600994383,1.53042582846134,45.0352604685855,44.4957932030212,45.7658105795252,41.7869793310591,47.5743078003657
"batch",0.25,"Raw","heldout_qc_cv_median","lower","percent",10,43.1285374452415,1.15235773966691,43.0465100896214,42.8834385537773,43.7700221821417,40.8705214279567,45.1702966110176
"batch",0.25,"Raw","heldout_qc_cv_sd","lower","percent",10,31.1325078981167,1.32582917054224,31.0479118817121,30.0806759827216,32.0118674190209,29.2418695091346,33.4699193369408
"batch",0.25,"Raw","median_attenuation_ratio_clean_responsive","higher","log1p_effect_or_ratio",10,0.999821568888916,0.00145196738522119,1,1,1,0.996022759973756,1.00182768035037
"batch",0.25,"Raw","median_attenuation_ratio_injected_responsive","higher","log1p_effect_or_ratio",10,0.501057335789334,0.0050300580152253,0.50074586068406,0.498944318637905,0.503883448661165,0.492984458253848,0.50886432718614
"batch",0.25,"Raw","n_discoveries_bh_0p05","descriptive","count",10,105.4,2.06559111797729,105.5,104.25,106.75,102,109
"batch",0.25,"Raw","null_feature_false_positive_rate","lower","proportion",10,0.006,0.00229510124219699,0.00611111111111111,0.00472222222222222,0.0075,0.00222222222222222,0.01
"batch",0.25,"Raw","phenotype_weighted_pc_r2_categorical","descriptive","weighted_R2",10,0.014949414658146,0.00226869127264726,0.0143614627295344,0.0133738686362406,0.0162800151133859,0.0124421405643218,0.0197380107481646
"batch",0.25,"Raw","recovered_vs_injected_intercept","descriptive","log1p_effect_or_ratio",10,-3.39861227146631e-06,0.000982908470684391,8.579417353974e-06,-0.000593303644743057,0.000274305811110006,-0.00150773385731663,0.00206427738185014
"batch",0.25,"Raw","recovered_vs_injected_slope","descriptive","log1p_effect_or_ratio",10,0.499598904436311,0.00538495225031958,0.499084154447707,0.496643520777859,0.501492417987324,0.490548920832325,0.509650032262838
"batch",0.25,"Raw","residual_ljung_box_median_statistic","lower","value",10,11.5507021332067,0.141108157166894,11.5529205589034,11.4323458262791,11.6615052329348,11.3762742668781,11.7537698510321
"batch",0.25,"Raw","residual_ljung_box_profiles_significant","lower","count",10,1272.8,55.884404503105,1253.5,1231.75,1310.5,1209,1378
"batch",0.25,"Raw","residual_ljung_box_profiles_tested","descriptive","count",10,5000,0,5000,5000,5000,5000,5000
"batch",0.25,"Raw","residual_ljung_box_proportion_significant","lower","proportion",10,0.25456,0.011176880900621,0.2507,0.24635,0.2621,0.2418,0.2756
"batch",0.25,"Raw","residual_run_order_gam_mean_deviance","lower","value",10,0.128839519583027,0.00466492794389816,0.12921169076214,0.125423988147111,0.131852319462733,0.121514286499646,0.13716407079489
"batch",0.25,"Raw","retained_features","higher","count",10,1000,0,1000,1000,1000,1000,1000
